event_id;day;datetime;time;artist;stage
1;4;2023-08-31T18:30:00;18:30;Cala Vento;sunrise
2;4;2023-08-31T20:15:00;20:15;Siouxsie;sunrise
3;4;2023-08-31T22:35:00;22:35;Arcade Fire;sunrise
4;4;2023-09-01T01:40:00;01:40;Foals;sunrise
5;4;2023-08-31T17:45:00;17:45;Juicy Bae;victoria
6;4;2023-08-31T19:20:00;19:20;Cupido;victoria
7;4;2023-08-31T21:25:00;21:25;Baxter Dury;victoria
8;4;2023-09-01T00:15:00;00:15;Idles;victoria
9;4;2023-09-01T03:05:00;03:05;Moderat;victoria
10;4;2023-08-31T17:30:00;17:30;Vera Fauna;sunset
11;4;2023-08-31T19:20:00;19:20;Tamino;sunset
12;4;2023-08-31T21:20:00;21:20;Amaia;sunset
13;4;2023-09-01T00:25:00;00:25;Pabllo Vittar;sunset
14;4;2023-09-01T03:15:00;03:15;VVV (Trippin' You);sunset
15;4;2023-08-31T17:00:00;17:00;Buganvilia;caleta
16;4;2023-08-31T19:00:00;19:00;Budino;caleta
17;4;2023-08-31T21:15:00;21:15;James Holden (Live);caleta
18;4;2023-08-31T22:30:00;22:30;Nicola Cruz (DJ Set);caleta
19;4;2023-09-01T01:00:00;01:00;Prosumer;caleta
20;4;2023-09-01T03:30:00;03:30;Cormac;caleta
21;5;2023-09-01T18:25:00;18:25;Kevin Kaarl;sunrise
22;5;2023-09-01T20:40:00;20:40;Amyl & The Sniffers;sunrise
23;5;2023-09-01T23:25:00;23:25;The Strokes;sunrise
24;5;2023-09-02T02:30:00;02:30;Underworld;sunrise
25;5;2023-09-01T17:40:00;17:40;Charlie Cunningham;victoria
26;5;2023-09-01T19:30:00;19:30;Cariño;victoria
27;5;2023-09-01T22:00:00;22:00;Lori Meyers;victoria
28;5;2023-09-02T01:05:00;01:05;M83;victoria
29;5;2023-09-02T03:50:00;03:50;Acid Arab (Live);victoria
30;5;2023-09-01T17:30:00;17:30;Compro Oro;sunset
31;5;2023-09-01T19:45:00;19:45;Junior Boys;sunset
32;5;2023-09-01T22:15:00;22:15;Nu Genea (Live Band);sunset
33;5;2023-09-02T01:15:00;01:15;Delaporte;sunset
34;5;2023-09-02T04:00:00;04:00;Playback Maracas;sunset
35;5;2023-09-01T17:00:00;17:00;Toppanga Kiddo;caleta
36;5;2023-09-01T19:30:00;19:30;Yung Prado;caleta
37;5;2023-09-01T22:00:00;22:00;Ouri (Live);caleta
38;5;2023-09-01T23:00:00;23:00;Saorse;caleta
39;5;2023-09-02T01:30:00;01:30;Call Super;caleta
40;5;2023-09-02T04:00:00;04:00;Palms Trax;caleta
41;6;2023-09-02T18:25:00;18:25;La Plazuela;sunrise
42;6;2023-09-02T20:40:00;20:40;Duki;sunrise
43;6;2023-09-02T23:25:00;23:25;Florence + The Machine;sunrise
44;6;2023-09-03T02:30:00;02:30;The Blaze;sunrise
45;6;2023-09-02T17:40:00;17:40;Niños Luchando;victoria
46;6;2023-09-02T19:30:00;19:30;José González;victoria
47;6;2023-09-02T22:05:00;22:05;Metronomy;victoria
48;6;2023-09-03T01:05:00;01:05;Belle & Sebastian;victoria
49;6;2023-09-03T03:50:00;03:50;Arca;victoria
50;6;2023-09-02T17:30:00;17:30;Ballena;sunset
51;6;2023-09-02T19:40:00;19:40;Judeline;sunset
52;6;2023-09-02T22:00:00;22:00;Ethel Cain;sunset
53;6;2023-09-03T01:05:00;01:05;Baiuca;sunset
54;6;2023-09-03T04:00:00;04:00;La Élite;sunset
55;6;2023-09-02T17:00:00;17:00;Alvva;caleta
56;6;2023-09-02T19:30:00;19:30;Tom VR;caleta
57;6;2023-09-02T22:00:00;22:00;Axel Boman (Live);caleta
58;6;2023-09-02T23:00:00;23:00;Ketiov b2b Moxie;caleta
59;6;2023-09-03T01:30:00;01:30;I.Jordan;caleta
60;6;2023-09-03T04:00:00;04:00;Helena Hauff;caleta
